baitID	intscore	rank	SIP
713823	250.816387202229	13105	0
330168	250.87555427836	13106	0
27261	251.019954163854	13107	0
584993	251.126678158906	13108	0
78036	251.304709149193	13109	0
512394	251.533356535966	13110	0
143510	251.584807124209	13111	0
256513	251.628211118951	13112	0
36414	251.907589659905	13113	1
476454	251.979473396617	13114	1
492185	252.300712269837	13115	1
452004	252.508418504005	13116	1
340211	252.582848806499	13117	1
730729	252.60750700997	13118	1
645110	252.64997813485	13119	1
541105	253.128735586862	13120	1
24069	253.415057005467	13121	1
620064	253.416930408767	13122	1
143543	253.652723662157	13123	1
634813	253.712522602826	13124	1
219670	253.890782171245	13125	1
370370	254.40000869194	13126	1
527229	254.444309010736	13127	1
291621	254.55933381042	13128	1
106362	254.916960920642	13129	1
598614	255.717552946672	13130	1
589842	255.785597825669	13131	1
426665	256.02908026685	13132	1
354198	256.371695785657	13133	1
285274	256.435232398866	13134	1
244360	256.552954693755	13135	1
366479	256.680142273357	13136	1
577897	256.716664857068	13137	1
30212	257.013057300731	13138	1
287110	257.165961709896	13139	1
676422	257.387434854247	13140	1
510542	257.725157465023	13141	1
211323	257.89797771088	13142	1
93977	258.084959906256	13143	1
400986	258.090014633956	13144	1
478799	258.284160742003	13145	1
274940	258.296208358887	13146	1
357302	259.193925497186	13147	1
747449	259.42593396493	13148	1
223296	259.44083732084	13149	1
110325	259.516927443248	13150	1
340591	259.518557194238	13151	1
611293	259.564564946133	13152	1
171039	259.566217402352	13153	1
211727	259.818191402928	13154	1
149746	259.979990864989	13155	1
57830	260.06723720497	13156	1
215145	260.217572971527	13157	1
32426	260.471680017252	13158	1
158320	260.646539837652	13159	1
2515	260.806496404041	13160	1
261132	260.889750969249	13161	1
710837	260.996882059486	13162	1
766041	261.011750435945	13163	1
463641	261.339789469964	13164	1
737858	261.34251519606	13165	1
143599	261.485111652777	13166	1
689373	261.492056564551	13167	1
359098	261.499472024905	13168	1
719504	261.796262843703	13169	1
259093	261.83625435365	13170	1
602665	261.840385648109	13171	1
737103	261.867400600168	13172	1
761318	262.312284658773	13173	1
210610	262.352124750029	13174	1
266098	262.420265996461	13175	1
266015	262.785721002295	13176	1
238634	262.914312597422	13177	1
358161	263.191271979238	13178	1
397237	263.246301636226	13179	1
268165	263.313634173656	13180	1
476766	263.340324238071	13181	1
93841	263.433727155501	13182	1
391642	263.480535756471	13183	1
484355	263.482493544707	13184	1
436717	263.566263378707	13185	1
590983	263.752673233013	13186	1
447093	264.078702158998	13187	1
416678	264.091641161466	13188	1
15998	264.101897559925	13189	1
611232	264.285935046672	13190	1
635504	264.362520454923	13191	1
5693	264.442424209764	13192	1
133907	264.446152292577	13193	1
135045	264.465133660345	13194	1
368157	264.547362717255	13195	1
458242	264.747860852492	13196	1
391408	265.067685275358	13197	1
305660	265.20671857933	13198	1
648111	265.440463896959	13199	1
213914	265.539844630022	13200	1
124137	265.665719390457	13201	1
70726	266.031640437278	13202	1
643367	266.261372047584	13203	1
380116	266.58022442507	13204	1
83925	266.797272819205	13205	1
400703	266.797860593136	13206	1
278467	266.825377115431	13207	1
334833	267.057691717826	13208	1
415393	267.793947732607	13209	1
529246	267.892774233957	13210	1
559400	267.90332279838	13211	1
477267	268.144185627703	13212	1
425831	268.177460240054	13213	1
622745	268.409784121803	13214	1
320263	268.700733494309	13215	1
625733	268.713518507332	13216	1
19936	268.758147973877	13217	1
783503	268.889971329711	13218	1
186072	269.086101883604	13219	1
34647	269.15403610464	13220	1
342389	269.198588450897	13221	1
210632	269.316609310379	13222	1
158345	269.812499350421	13223	1
84862	269.921591974189	13224	1
211708	269.994387566355	13225	1
182165	270.000450777285	13226	1
653797	270.057070542402	13227	1
44742	270.0790570303	13228	1
143497	270.0803850729	13229	1
565748	270.133771551453	13230	1
93521	270.253568147818	13231	1
625628	270.359475445412	13232	1
210801	270.40886506192	13233	1
351201	270.491011060987	13234	1
689902	270.502660841794	13235	1
30176	270.564908781916	13236	1
248450	270.639153090627	13237	1
634230	270.771490355028	13238	1
258731	271.013672797682	13239	1
464199	271.095446797177	13240	1
60335	271.310650168271	13241	1
541252	272.142559206149	13242	1
596014	272.287477406002	13243	1
344546	272.302384172715	13244	1
189312	272.332651943773	13245	1
221401	272.40069942296	13246	1
216366	272.532919729882	13247	1
219747	272.553040311939	13248	1
619553	272.632299552952	13249	1
707193	272.704958789883	13250	1
331342	272.811532619121	13251	1
145278	272.815709987187	13252	1
329396	272.859064428256	13253	1
211322	273.137516801463	13254	1
36779	273.18643221033	13255	1
157421	273.24321182254	13256	1
604427	273.366013905811	13257	1
700585	273.557235644918	13258	1
327631	273.781584572234	13259	1
451972	273.841921083212	13260	1
590982	273.983940210296	13261	1
328917	274.028096704125	13262	1
581857	274.045304685318	13263	1
329482	274.448182410285	13264	1
469913	274.66172396231	13265	1
140184	274.679521309517	13266	1
761089	274.760343851508	13267	1
10555	274.847366538427	13268	1
705599	274.987945420164	13269	1
457217	275.199491015207	13270	1
662834	275.460567241181	13271	1
265440	275.461217107587	13272	1
8310	275.507419537038	13273	1
503494	275.511848958196	13274	1
93924	275.524007788786	13275	1
181182	275.702732601292	13276	1
158419	275.9046945169	13277	1
218201	276.139356525744	13278	1
446850	276.453550976018	13279	1
370493	276.484484280048	13280	1
201879	276.695387039646	13281	1
404738	277.06770511674	13282	1
495923	277.10131865342	13283	1
6639	277.199000305745	13284	1
265939	277.313388781904	13285	1
518002	278.538212972241	13286	1
455649	279.038969476225	13287	1
96001	279.078984777255	13288	1
609536	279.246524003361	13289	1
676327	279.272729362053	13290	1
176772	279.394865615667	13291	1
