baitID	intscore	rank	SIP	MKSpecific
322918	21.967607650461	4843	0	0
322925	13.0766965131316	3310	0	0
322927	41.7798872911541	7162	0	0
322945	8.43280711234389	2128	0	0
322955	14.3714981773434	3560	0	0
322994	60.5182294223244	8501	0	0
322999	9.97782769951604	2277	0	0
323012	7.51854142892301	1951	0	0
323037	5.5968333147728	899	0	0
323038	18.2571265513521	4246	0	0
323063	39.6569134013698	6959	0	0
323071	34.0871921409972	6330	0	0
323081	18.341594898438	4272	0	0
323088	5.80697307048512	1113	0	0
323091	22.4425007513662	4917	0	0
323099	5.97041999924671	1250	0	0
323107	28.1991812116648	5685	0	0
323116	5.46239859646667	744	0	0
323125	6.61928634476973	1653	0	0
323127	16.4086297869998	3845	0	0
323134	47.0950726421343	7574	0	0
323136	37.8927726747929	6773	0	0
323138	26.9005591116736	5495	0	0
323140	92.5102284120525	10003	0	0
323145	32.5823458270678	6172	0	0
323146	10.7660220527331	2466	0	0
323160	7.61858987200904	1981	0	0
323167	5.20566742894974	357	0	0
323173	47.7666259937373	7636	0	0
323199	33.6459334755727	6287	0	0
323227	13.7755751373187	3462	0	0
323233	48.6777448521613	7711	0	0
323240	15.8107666136624	3736	0	0
323246	69.3143905737558	9022	0	0
323248	5.134896638088	237	0	0
323253	17.3954955965479	4073	0	0
323258	6.22931359886363	1425	0	0
323265	96.0722985329833	10133	0	0
323272	16.4817143102845	3863	0	0
323280	5.77479915925464	1089	0	0
323284	5.0950501079063	164	0	0
323294	15.9422788495644	3758	0	0
323295	6.09882392299866	1334	0	0
323297	19.8872828696803	4551	0	0
324711	5.59443421230887	894	0	0
324796	7.72663490032877	2008	0	0
326258	61.2187015892533	8539	0	0
326266	23.1013626753471	5019	0	0
326268	186.743861441498	12191	0	0
326284	16.2616958870336	3811	0	0
326962	10.5589439568328	2386	0	0
327037	20.9159441300186	4683	0	0
327050	32.9952841282758	6222	0	0
327060	100.983301078732	10305	0	0
327063	26.7981358893461	5483	0	0
327066	12.9300619057538	3274	0	0
327116	39.4697747159831	6943	0	0
327135	25.5395399067158	5330	0	0
327141	23.9789264629281	5131	0	0
327152	5.97346409841412	1252	0	0
327169	5.1935759470219	339	0	0
327182	5.30193330311826	505	0	0
327206	6.51101023401631	1602	0	0
327258	112.119408701555	10655	0	0
327363	22.775082530979	4967	0	0
327427	6.12122773258552	1348	0	0
327473	49.7781720409132	7797	0	0
327517	7.21087045300407	1882	0	0
327527	13.4375157345264	3390	0	0
327557	27.8944292898013	5640	0	0
327567	61.0498173155518	8529	0	0
327575	23.419769608634	5066	0	0
327578	14.15438651343	3529	0	0
327579	35.2099967479455	6480	0	0
327592	10.9436725176231	2541	0	0
327596	128.992171670459	11104	0	0
327610	52.9814674544555	8000	0	0
327613	11.5965375153449	2805	0	0
327615	47.9502991982397	7650	0	0
327620	39.8209168198501	6979	0	0
327625	14.0360558388896	3511	0	0
327628	18.7612119260861	4358	0	0
327631	186.356539270876	12181	0	0
327633	182.965457980295	12116	0	0
327638	219.772899055957	12605	0	0
327641	12.445968169941	3144	0	0
327644	5.21985131578089	379	0	0
327657	121.259804976894	10905	0	0
327658	154.979701038235	11640	0	0
327663	59.2300899121489	8414	0	0
327665	6.33290166458394	1496	0	0
327667	96.9658157599683	10166	0	0
327672	118.406510892134	10832	0	0
327683	11.8373943344336	2902	0	0
327684	32.6853821091028	6184	0	0
327687	16.484130680631	3864	0	0
327688	12.8903935399046	3263	0	0
327689	27.9483992390043	5645	0	0
327690	16.5590769061989	3879	0	0
327700	76.1551320668029	9340	0	0
327701	68.8493683673589	8994	0	0
327704	63.7030444106002	8705	0	0
327708	33.6454347469103	6286	0	0
327710	15.6100724454611	3697	0	0
327718	39.1478602353916	6914	0	0
327719	45.1588040122497	7425	0	0
327720	24.4124929887859	5183	0	0
327730	11.7279863540922	2853	0	0
327741	38.5102130323408	6848	0	0
327745	5.41750373778769	668	0	0
327747	7.82655658392907	2030	0	0
327756	6.72493842781377	1707	0	0
327769	29.3879866887461	5830	0	0
327791	11.7445492235934	2862	0	0
327796	35.8057700830816	6553	0	0
327837	6.25294012303601	1441	0	0
327847	53.6195247998522	8051	0	0
327866	10.7529738023097	2462	0	0
327872	36.7646018855303	6654	0	0
327915	72.3366965576904	9180	0	0
327917	45.0721435293125	7414	0	0
328018	50.8589801718222	7858	0	0
328033	110.819128726631	10624	0	0
328070	5.98336251987138	1261	0	0
328126	7.69226595321147	2001	0	0
328174	61.318702826759	8547	0	0
328201	170.527262620287	11929	0	0
328224	67.0778676015622	8893	0	0
328229	49.099793899118	7751	0	0
328231	45.544135121605	7460	0	0
328243	11.3065552525905	2691	0	0
328245	193.589028483881	12287	0	0
328246	97.3327521099285	10180	0	0
328250	84.547901789149	9714	0	0
328255	119.718209423046	10866	0	0
328258	59.2976689581861	8417	0	0
328262	10.0141758981765	2280	0	0
328284	34.7577830569884	6433	0	0
328286	5.2831823701837	474	0	0
328293	10.7004959064109	2440	0	0
328315	11.9475590420652	2957	0	0
328318	6.81305722348473	1745	0	0
328344	125.625325620619	11022	0	0
328354	17.1590542210871	4021	0	0
328360	42.870695746116	7255	0	0
328369	11.9539463401893	2962	0	0
328370	77.038162275482	9380	0	0
328382	60.2339987459947	8481	0	0
